Average of latency,Column Labels,,,
Row Labels,1,2,3,Grand Total
16450064920,248.28125,,,248.28125
16450064922,39.2962963,,,39.2962963
16450064923,49.42857143,,,49.42857143
16450064924,29.26728111,,,29.26728111
16450064925,28.52054795,,,28.52054795
16450064926,31.30414747,,,31.30414747
16450064927,38.98235294,,,38.98235294
16450064928,28.78217822,,,28.78217822
16450064929,30.74038462,,,30.74038462
16450064930,26.62025316,,,26.62025316
16450064931,39.50920245,,,39.50920245
16450064932,30.80454545,,,30.80454545
16450064933,27.79908676,,,27.79908676
16450064934,28.99578059,,,28.99578059
16450064935,29.52475248,,,29.52475248
16450064936,29.42009132,,,29.42009132
16450064937,29.93457944,,,29.93457944
16450064938,33.7753304,,,33.7753304
16450064939,33.2721519,,,33.2721519
16450064940,27.7079646,,,27.7079646
16450064941,47.43209877,,,47.43209877
16450064942,35.18045113,,,35.18045113
16450064943,26.70588235,,,26.70588235
16450064944,26.17886179,,,26.17886179
16450064945,35.84571429,,,35.84571429
16450064946,36.85294118,,,36.85294118
16450064947,28.58158996,,,28.58158996
16450064948,28.41706161,,,28.41706161
16450064949,28.27586207,,,28.27586207
16450064950,30.53917051,,,30.53917051
16450064951,29.45145631,,,29.45145631
16450064952,27.73728814,,,27.73728814
16450064953,31.69668246,,,31.69668246
16450064954,30.37264151,,,30.37264151
16450064955,33.40828402,,,33.40828402
16450064956,26.48837209,,,26.48837209
16450064957,26.49173554,,,26.49173554
16450064958,27.84259259,,,27.84259259
16450064959,26.72289157,,,26.72289157
16450064960,26.95175439,,,26.95175439
16450064961,26.17928287,,,26.17928287
16450064962,30.2970297,,,30.2970297
16450064963,27.67871486,,,27.67871486
16450064964,35.38829787,,,35.38829787
16450064965,29.84343434,,,29.84343434
16450064966,34.64705882,,,34.64705882
16450064967,27.99115044,,,27.99115044
16450064968,28.39737991,,,28.39737991
16450064969,29.5399061,,,29.5399061
16450064970,30.35294118,,,30.35294118
16450064971,31.3744856,,,31.3744856
16450064972,26.92682927,,,26.92682927
16450064973,37.61734694,,,37.61734694
16450064974,29.53333333,,,29.53333333
16450064975,27.13953488,,,27.13953488
16450064976,28.12552301,,,28.12552301
16450064977,27.35390947,,,27.35390947
16450064978,26.2760181,,,26.2760181
16450064979,26.14173228,,,26.14173228
16450064980,32.81283422,,,32.81283422
16450064981,29.33474576,,,29.33474576
16450064982,30.94270833,,,30.94270833
16450064983,29.61261261,,,29.61261261
16450064984,30.09952607,,,30.09952607
16450064985,26.64016736,,,26.64016736
16450064986,26.76326531,,,26.76326531
16450064987,26.61403509,,,26.61403509
16450064988,34.89247312,,,34.89247312
16450064989,28.53418803,,,28.53418803
16450064990,33.49230769,,,33.49230769
16450064991,27.66203704,,,27.66203704
16450064992,34.45652174,,,34.45652174
16450064993,28.18297872,,,28.18297872
16450064994,27.55603448,,,27.55603448
16450064995,31.77358491,,,31.77358491
16450064996,34.65536723,,,34.65536723
16450064997,29.01485149,,,29.01485149
16450064998,27.53012048,,,27.53012048
16450064999,28.75770925,,,28.75770925
16450065000,28.05829596,,,28.05829596
16450065001,29.41484716,,,29.41484716
16450065002,29.58685446,,,29.58685446
16450065003,27.42731278,,,27.42731278
16450065004,31.63709677,,,31.63709677
16450065005,34.03804348,,,34.03804348
16450065006,29.47093023,,,29.47093023
16450065007,27.76521739,,,27.76521739
16450065008,29.92682927,,,29.92682927
16450065009,30.47752809,,,30.47752809
16450065010,25.88211382,,,25.88211382
16450065011,45.52857143,,,45.52857143
16450065012,43.28571429,,,43.28571429
16450065013,31.76097561,,,31.76097561
16450065014,28.06086957,,,28.06086957
16450065015,35.46242775,,,35.46242775
16450065016,28.87603306,,,28.87603306
16450065017,29.41935484,,,29.41935484
16450065018,29.18666667,,,29.18666667
16450065019,28.50236967,,,28.50236967
16450065020,26.15936255,,,26.15936255
16450065021,27.04201681,,,27.04201681
16450065022,26.82608696,,,26.82608696
16450065023,42.22222222,,,42.22222222
16450065024,32.09,,,32.09
16450065025,30.40990991,,,30.40990991
16450065026,28.68181818,,,28.68181818
16450065027,35.06666667,,,35.06666667
16450065028,27.2020202,,,27.2020202
16450065029,26.98780488,,,26.98780488
16450065030,33.7431694,,,33.7431694
16450065031,27.66666667,,,27.66666667
16450065032,39.34899329,,,39.34899329
16450065033,28.4,,,28.4
16450065034,35.8423913,,,35.8423913
16450065035,33.26630435,,,33.26630435
16450065036,34.18695652,,,34.18695652
